File Name, Data Type, RAxML Model, Baliphy Model
RNASimBigR01.fna,RNA,GTRGAMMAI,GTR
RNASimBigR02.fna,RNA,GTRGAMMAI,GTR
RNASimBigR03.fna,RNA,GTRGAMMAI,GTR
RNASimBigR04.fna,RNA,GTRGAMMAI,GTR
RNASimBigR05.fna,RNA,GTRGAMMAI,GTR
RNASimBigR06.fna,RNA,GTRGAMMAI,GTR
RNASimBigR07.fna,RNA,GTRGAMMAI,GTR
RNASimBigR08.fna,RNA,GTRGAMMAI,GTR
RNASimBigR09.fna,RNA,GTRGAMMAI,GTR
RNASimBigR10.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR01.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR02.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR03.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR04.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR05.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR06.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR07.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR08.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR09.fna,RNA,GTRGAMMAI,GTR
RNASimSmallR10.fna,RNA,GTRGAMMAI,GTR
RoseBigL1R01.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R02.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R03.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R04.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R05.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R06.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R07.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R08.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R09.fna,DNA,GTRGAMMAI,GTR
RoseBigL1R10.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R01.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R02.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R03.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R04.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R05.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R06.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R07.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R08.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R09.fna,DNA,GTRGAMMAI,GTR
RoseBigM1R10.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R01.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R02.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R03.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R04.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R05.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R06.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R07.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R08.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R09.fna,DNA,GTRGAMMAI,GTR
RoseBigS1R10.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R01.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R02.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R03.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R04.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R05.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R06.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R07.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R08.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R09.fna,DNA,GTRGAMMAI,GTR
RoseSmallL1R10.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R01.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R02.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R03.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R04.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R05.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R06.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R07.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R08.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R09.fna,DNA,GTRGAMMAI,GTR
RoseSmallM1R10.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R01.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R02.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R03.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R04.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R05.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R06.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R07.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R08.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R09.fna,DNA,GTRGAMMAI,GTR
RoseSmallS1R10.fna,DNA,GTRGAMMAI,GTR
