File Name, Data Type, StatAlign Model
AAA.faa,Amino-Acids,Vt
ABC_tran.faa,Amino-Acids,Blosum
ATP-synt.faa,Amino-Acids,Vt
Acetyltransf.faa,Amino-Acids,Blosum
Ald_Xan_dh_1.faa,Amino-Acids,Blosum
Ald_Xan_dh_2.faa,Amino-Acids,Blosum
Asp_Glu_race_D.faa,Amino-Acids,Blosum
BIR.faa,Amino-Acids,Blosum
Bac_DNA_binding.faa,Amino-Acids,Wag
CBM_20.faa,Amino-Acids,Wag
CBS.faa,Amino-Acids,CpRev
CH.faa,Amino-Acids,Blosum
CPSase_L_chain.faa,Amino-Acids,Blosum
ChtBD.faa,Amino-Acids,Dayhoff
Cu_amine_oxid.faa,Amino-Acids,Wag
Cyclodex_gly_tran.faa,Amino-Acids,Wag
DEAD.faa,Amino-Acids,Blosum
DEATH.faa,Amino-Acids,Vt
DHOdehase.faa,Amino-Acids,Blosum
DMRL_synthase.faa,Amino-Acids,Wag
DNA_PPF.faa,Amino-Acids,Vt
EFTU_2.faa,Amino-Acids,RtREV
Epimerase.faa,Amino-Acids,Blosum
FAD-oxidase_C.faa,Amino-Acids,RtREV
FAD-oxidase_NC.faa,Amino-Acids,Wag
FAD_binding_4.faa,Amino-Acids,Wag
Fapy_DNA_glyco.faa,Amino-Acids,Wag
GEL.faa,Amino-Acids,Wag
GLA.faa,Amino-Acids,Dayhoff
Glyco_hydro_18.faa,Amino-Acids,Wag
Glyco_hydro_18_D1.faa,Amino-Acids,Wag
Glyco_hydro_18_D2.faa,Amino-Acids,Wag
HATPase_c.faa,Amino-Acids,Vt
HGTP_anticodon.faa,Amino-Acids,Wag
HLH.faa,Amino-Acids,Vt
HMG_box.faa,Amino-Acids,Wag
HTH_AraC.faa,Amino-Acids,Vt
Haloperoxidase.faa,Amino-Acids,Wag
KAS.faa,Amino-Acids,Wag
KISc.faa,Amino-Acids,Vt
LDLa.faa,Amino-Acids,Dayhoff
LIM.faa,Amino-Acids,Dayhoff
Levi_coat.faa,Amino-Acids,Wag
Lum_binding.faa,Amino-Acids,Blosum
LuxS.faa,Amino-Acids,Blosum
MHC_II_C.faa,Amino-Acids,Wag
MHC_II_N.faa,Amino-Acids,Vt
MHC_II_alpha_NC.faa,Amino-Acids,Vt
MHC_II_beta_NC.faa,Amino-Acids,Wag
MM_CoA_mutase.faa,Amino-Acids,Wag
MoCF_biosynth.faa,Amino-Acids,Blosum
NTP_transferase.faa,Amino-Acids,Vt
OTCace.faa,Amino-Acids,Wag
PDZ.faa,Amino-Acids,Vt
PH.faa,Amino-Acids,Blosum
PK.faa,Amino-Acids,Blosum
Peptidase_M24.faa,Amino-Acids,Blosum
Phage_integrase.faa,Amino-Acids,Blosum
Pro_CA.faa,Amino-Acids,Wag
Propep_M14.faa,Amino-Acids,Vt
RGS.faa,Amino-Acids,Vt
RRF.faa,Amino-Acids,Vt
Rhodanese.faa,Amino-Acids,Wag
Ribosomal_L6_D.faa,Amino-Acids,RtREV
RuBisCO_large.faa,Amino-Acids,Blosum
RuBisCO_large_N.faa,Amino-Acids,Wag
RuBisCO_large_NC.faa,Amino-Acids,Blosum
RuBisCO_small.faa,Amino-Acids,Wag
S_100.faa,Amino-Acids,Wag
Sm.faa,Amino-Acids,Blosum
Stap_Strp_toxin.faa,Amino-Acids,Vt
Sulfotransfer.faa,Amino-Acids,Vt
TIG.faa,Amino-Acids,Wag
TIL.faa,Amino-Acids,Dayhoff
TMV_coat.faa,Amino-Acids,Vt
TNF.faa,Amino-Acids,Wag
TPR.faa,Amino-Acids,Blosum
TyrKc.faa,Amino-Acids,RtREV
WW.faa,Amino-Acids,RtREV
aadh.faa,Amino-Acids,Blosum
aat.faa,Amino-Acids,Wag
ace.faa,Amino-Acids,Wag
actin.faa,Amino-Acids,Blosum
adh.faa,Amino-Acids,Wag
adk.faa,Amino-Acids,Wag
aldedh.faa,Amino-Acids,Blosum
aldosered.faa,Amino-Acids,Wag
alpha-amylase.faa,Amino-Acids,Wag
alpha-amylase_C.faa,Amino-Acids,Wag
alpha-amylase_NC.faa,Amino-Acids,Wag
annexin.faa,Amino-Acids,Wag
asp.faa,Amino-Acids,Wag
az.faa,Amino-Acids,Wag
bac_luciferase.faa,Amino-Acids,Vt
biotin_lipoyl.faa,Amino-Acids,Wag
blm.faa,Amino-Acids,Wag
blmb.faa,Amino-Acids,Wag
bowman.faa,Amino-Acids,Dayhoff
bromodomain.faa,Amino-Acids,Vt
bv.faa,Amino-Acids,Wag
cah.faa,Amino-Acids,Wag
cat3.faa,Amino-Acids,Blosum
cbp.faa,Amino-Acids,Wag
ccH.faa,Amino-Acids,Wag
cox.faa,Amino-Acids,Wag
cpa.faa,Amino-Acids,Vt
cpn60_TCP1.faa,Amino-Acids,Wag
cryst.faa,Amino-Acids,Jones
cyclo.faa,Amino-Acids,Wag
cys.faa,Amino-Acids,Wag
cyt3.faa,Amino-Acids,Dayhoff
cyt5.faa,Amino-Acids,Wag
cytb.faa,Amino-Acids,RtREV
cytc.faa,Amino-Acids,Wag
cytprime.faa,Amino-Acids,Wag
dhfr.faa,Amino-Acids,Wag
dpo1.faa,Amino-Acids,Vt
egf.faa,Amino-Acids,Wag
ets.faa,Amino-Acids,Wag
fabp.faa,Amino-Acids,Wag
fbpase.faa,Amino-Acids,Wag
fer2.faa,Amino-Acids,Wag
fer4.faa,Amino-Acids,Wag
ferritin.faa,Amino-Acids,Jones
fkbp.faa,Amino-Acids,RtREV
flav.faa,Amino-Acids,Wag
fn3.faa,Amino-Acids,Vt
ghf1.faa,Amino-Acids,Wag
ghf10.faa,Amino-Acids,Wag
ghf11.faa,Amino-Acids,Wag
ghf18.faa,Amino-Acids,Vt
ghf22.faa,Amino-Acids,Wag
ghf33.faa,Amino-Acids,Wag
ghf5.faa,Amino-Acids,Vt
ghf7.faa,Amino-Acids,Wag
glnasn.faa,Amino-Acids,Wag
glob.faa,Amino-Acids,Wag
gluts.faa,Amino-Acids,Wag
gpdh.faa,Amino-Acids,Wag
grs.faa,Amino-Acids,Wag
gtp.faa,Amino-Acids,Wag
helicase_C.faa,Amino-Acids,Blosum
