Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BALBS324,DefaultProbCons,0.208964574553,0.133812319924,0.171388447239,0.00296442687747,0.208964574553,2.16147540984,0.725003500687,0.893772893773,23.0,1220.0,2637.0,954.0,0.274952328825,0.508588738418,26.7748592871,2.0,0.208964574553,0.133812319924,0.00296442687747,2.16147540984,263.5
BALBS518,DefaultProbCons,0.394725166379,0.303951713928,0.349338440153,0.023166023166,0.394725166379,2.02120141343,0.658888215557,0.725118483412,16.0,283.0,572.0,255.0,0.0492211608845,0.1824204947,3.97115384615,4.0,0.394725166379,0.303951713928,0.023166023166,2.02120141343,0.0
BALBS591,DefaultProbCons,0.172870014827,0.128008783536,0.150439399182,0.00133689839572,0.172870014827,1.65479115479,0.7510368382,0.886297376093,14.0,814.0,1347.0,603.0,0.128365588615,0.393997893998,19.0254237288,2.0,0.172870014827,0.128008783536,0.00133689839572,1.65479115479,0.535714285714
BALBS473,DefaultProbCons,0.0759807978811,0.0573105256586,0.0666456617699,0.00242130750605,0.0759807978811,1.50955414013,0.822490507778,0.87306501548,8.0,471.0,711.0,402.0,0.141674578412,0.292728237792,8.41984732824,5.0,0.0759807978811,0.0573105256586,0.00242130750605,1.50955414013,1.5625
BALBS213,DefaultProbCons,0.16454050341,0.132261881286,0.148401192348,0.0,0.16454050341,1.72894168467,0.768680536701,0.901260504202,17.0,926.0,1601.0,688.0,0.168887919188,0.471350527252,16.5995525727,2.0,0.16454050341,0.132261881286,0.0,1.72894168467,126.558823529
BALBS385,DefaultProbCons,0.190824550527,0.143791460338,0.167308005433,0.0,0.190824550527,1.43371757925,0.701672641591,0.924528301887,23.0,694.0,995.0,509.0,0.665337537113,0.734181180303,68.9352941176,6.0,0.190824550527,0.143791460338,0.0,1.43371757925,238.217391304
BALBS425,DefaultProbCons,0.273913854186,0.212313918196,0.243113886191,0.0,0.273913854186,1.78343949045,0.677139237812,0.778597785978,11.0,314.0,560.0,286.0,0.104929398554,0.146496815287,3.74814814815,2.0,0.273913854186,0.212313918196,0.0,1.78343949045,11.8636363636
BALBS482,DefaultProbCons,0.323202157892,0.256960134799,0.290081146345,0.062381852552,0.323202157892,1.57533039648,0.672543549261,0.709327548807,8.0,1135.0,1788.0,1001.0,0.0146986096549,0.134471365639,5.26293103448,3.0,0.323202157892,0.256960134799,0.062381852552,1.57533039648,3.125
BALBS740,DefaultProbCons,0.342093023256,0.269809244314,0.305951133785,0.0,0.342093023256,1.7027027027,0.710086518505,0.813008130081,10.0,148.0,252.0,137.0,0.0367454068241,0.128378378378,3.16666666667,2.0,0.342093023256,0.269809244314,0.0,1.7027027027,0.0
BALBS535,DefaultProbCons,0.497539639147,0.421882243857,0.459710941502,0.0934579439252,0.497539639147,1.38983050847,0.631501337207,0.816326530612,7.0,118.0,164.0,118.0,0.0567159714623,0.100484261501,4.88235294118,2.0,0.497539639147,0.421882243857,0.0934579439252,1.38983050847,0.0
