Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
tRNA-synt_2b,DefaultProbCons,0.0719827586207,0.0683865683866,0.0701846635036,0.0,0.0719827586207,1.01713062099,0.813060615249,0.882352941176,5.0,467.0,475.0,326.0,0.0583847042407,0.340899357602,8.65217391304,2.0,0.0719827586207,0.0683865683866,0.0,1.01713062099,22.2
MHC_II_N,DefaultProbCons,0.385131017672,0.317854149204,0.351492583438,0.0105263157895,0.385131017672,1.67708333333,0.69157746224,0.935897435897,13.0,96.0,161.0,92.0,0.10786644476,0.132211538462,3.11320754717,2.0,0.385131017672,0.317854149204,0.0105263157895,1.67708333333,3.61538461538
oxidored_q6,DefaultProbCons,0.745820831547,0.674418604651,0.710119718099,0.387218045113,0.745820831547,1.19649122807,0.432541212615,0.606299212598,5.0,285.0,341.0,275.0,0.0229642884832,0.0694736842105,3.0,2.0,0.745820831547,0.674418604651,0.387218045113,1.19649122807,1.4
Ald_Xan_dh_1,DefaultProbCons,0.60546875,0.526762956669,0.566115853335,0.241206030151,0.60546875,1.26829268293,0.566430042019,0.638709677419,6.0,205.0,260.0,193.0,0.102806155901,0.162601626016,7.40740740741,2.0,0.60546875,0.526762956669,0.241206030151,1.26829268293,10.8333333333
kunitz,DefaultProbCons,0.545454545455,0.451485148515,0.498469846985,0.0833333333333,0.545454545455,1.640625,0.621300680491,0.839285714286,10.0,64.0,105.0,60.0,0.0335604628061,0.0984375,1.53658536585,1.0,0.545454545455,0.451485148515,0.0833333333333,1.640625,1.35
rep,DefaultProbCons,0.199367088608,0.159898477157,0.179632782882,0.0133333333333,0.199367088608,1.36363636364,0.696524216524,0.813333333333,4.0,88.0,120.0,87.0,0.157259275362,0.173295454545,4.35714285714,4.5,0.199367088608,0.159898477157,0.0133333333333,1.36363636364,4.0
cyt5,DefaultProbCons,0.512242899119,0.452422145329,0.482332522224,0.0357142857143,0.512242899119,1.2688172043,0.497570671228,0.760563380282,6.0,93.0,118.0,83.0,0.0128688202229,0.123655913978,2.3,2.0,0.512242899119,0.452422145329,0.0357142857143,1.2688172043,2.08333333333
blmb,DefaultProbCons,0.092820309401,0.0762711864407,0.0845457479209,0.0,0.092820309401,1.32848837209,0.794135093584,0.895238095238,6.0,344.0,457.0,266.0,0.0963478015437,0.297480620155,8.18666666667,2.0,0.092820309401,0.0762711864407,0.0,1.32848837209,26.75
icd,DefaultProbCons,0.43956043956,0.370477568741,0.405019004151,0.0826446280992,0.43956043956,1.3025404157,0.583461582685,0.735465116279,5.0,433.0,564.0,414.0,0.0758115888108,0.152424942263,5.32258064516,2.0,0.43956043956,0.370477568741,0.0826446280992,1.3025404157,10.0
ccH,DefaultProbCons,0.46511627907,0.408163265306,0.436639772188,0.101694915254,0.46511627907,1.21538461538,0.652770575865,0.741379310345,4.0,65.0,79.0,63.0,0.0448432425604,0.0846153846154,1.375,1.0,0.46511627907,0.408163265306,0.101694915254,1.21538461538,0.875
sodcu,DefaultProbCons,0.479518072289,0.393280632411,0.43639935235,0.10843373494,0.479518072289,1.52662721893,0.577504625952,0.75,7.0,169.0,258.0,155.0,0.0124338526956,0.0972104818259,2.875,2.0,0.479518072289,0.393280632411,0.10843373494,1.52662721893,1.78571428571
thiored,DefaultProbCons,0.096065873742,0.0878661087866,0.0919659912643,0.0,0.096065873742,1.18181818182,0.794302357561,0.931506849315,6.0,132.0,156.0,108.0,0.129001350302,0.27398989899,5.5641025641,4.0,0.096065873742,0.0878661087866,0.0,1.18181818182,8.41666666667
DEAD,DefaultProbCons,0.267888307155,0.254983388704,0.26143584793,0.047619047619,0.267888307155,1.00678733032,0.703921305539,0.848314606742,4.0,442.0,445.0,409.0,0.384274771591,0.35407239819,18.9696969697,6.0,0.267888307155,0.254983388704,0.047619047619,1.00678733032,7.25
dhfr,DefaultProbCons,0.461805555556,0.411764705882,0.436785130719,0.155913978495,0.461805555556,1.1746031746,0.640414891982,0.748427672956,4.0,189.0,222.0,186.0,0.0797698996164,0.0886243386243,3.04545454545,2.5,0.461805555556,0.411764705882,0.155913978495,1.1746031746,1.25
cytb,DefaultProbCons,0.380242311277,0.339716902581,0.359979606929,0.130434782609,0.380242311277,1.21,0.644403962918,0.733333333333,6.0,100.0,121.0,92.0,0.0586094196965,0.14,3.36,2.0,0.380242311277,0.339716902581,0.130434782609,1.21,4.16666666667
uce,DefaultProbCons,0.323227718258,0.260422405877,0.291825062068,0.0,0.323227718258,1.71739130435,0.659930986623,0.803278688525,13.0,184.0,316.0,164.0,0.0549037087089,0.188127090301,4.20560747664,3.0,0.323227718258,0.260422405877,0.0,1.71739130435,4.19230769231
