File Name, Data Type, StatAlign Model
AL00047241.faa,Amino-Acids,Blosum
AL00047305.faa,Amino-Acids,Vt
AL00047861.faa,Amino-Acids,Wag
AL00048098.faa,Amino-Acids,RtREV
AL00049599.faa,Amino-Acids,Jones
AL00049879.faa,Amino-Acids,Vt
AL00050021.faa,Amino-Acids,Wag
AL00050155.faa,Amino-Acids,Vt
AL00050331.faa,Amino-Acids,Wag
AL00050464.faa,Amino-Acids,Wag
AL00050465.faa,Amino-Acids,RtREV
AL00050475.faa,Amino-Acids,Wag
AL00050684.faa,Amino-Acids,Blosum
AL00050685.faa,Amino-Acids,Wag
AL00050692.faa,Amino-Acids,Blosum
AL00050715.faa,Amino-Acids,Blosum
AL00050799.faa,Amino-Acids,RtREV
AL00050815.faa,Amino-Acids,Wag
AL00050847.faa,Amino-Acids,Wag
AL00050876.faa,Amino-Acids,Wag
AL00051306.faa,Amino-Acids,Vt
AL00051352.faa,Amino-Acids,Wag
AL00051366.faa,Amino-Acids,Blosum
AL00051392.faa,Amino-Acids,Blosum
AL00051395.faa,Amino-Acids,Blosum
AL00051412.faa,Amino-Acids,Wag
AL00051713.faa,Amino-Acids,Blosum
AL00051735.faa,Amino-Acids,Blosum
AL00051904.faa,Amino-Acids,Wag
AL00051906.faa,Amino-Acids,Blosum
AL00051913.faa,Amino-Acids,Vt
AL00051931.faa,Amino-Acids,Blosum
AL00051934.faa,Amino-Acids,Wag
AL00051971.faa,Amino-Acids,Wag
AL00051984.faa,Amino-Acids,Blosum
AL00052086.faa,Amino-Acids,Vt
AL00052113.faa,Amino-Acids,Wag
AL00052141.faa,Amino-Acids,Blosum
AL00052150.faa,Amino-Acids,Wag
AL00052317.faa,Amino-Acids,Vt
AL00052441.faa,Amino-Acids,Blosum
AL00052787.faa,Amino-Acids,Blosum
AL00052799.faa,Amino-Acids,Wag
AL00052821.faa,Amino-Acids,Wag
AL00053335.faa,Amino-Acids,Blosum
AL00053354.faa,Amino-Acids,Blosum
AL00053377.faa,Amino-Acids,Blosum
AL00053473.faa,Amino-Acids,Wag
AL00053614.faa,Amino-Acids,Blosum
AL00053697.faa,Amino-Acids,Vt
AL00053701.faa,Amino-Acids,Vt
AL00054097.faa,Amino-Acids,Jones
AL00054253.faa,Amino-Acids,Vt
AL00054403.faa,Amino-Acids,Wag
AL00054407.faa,Amino-Acids,Wag
AL00054790.faa,Amino-Acids,RtREV
AL00054814.faa,Amino-Acids,Blosum
AL00055186.faa,Amino-Acids,Blosum
AL00055464.faa,Amino-Acids,Blosum
AL00055593.faa,Amino-Acids,Wag
AL00055594.faa,Amino-Acids,Wag
AL00055637.faa,Amino-Acids,RtREV
AL00055723.faa,Amino-Acids,Blosum
AL00056022.faa,Amino-Acids,Blosum
AL00056276.faa,Amino-Acids,Blosum
AL00057282.faa,Amino-Acids,Dayhoff
AL00057413.faa,Amino-Acids,Blosum
AL00057468.faa,Amino-Acids,Dayhoff
AL00057492.faa,Amino-Acids,Dayhoff
AL00063410.faa,Amino-Acids,Vt
AL00063412.faa,Amino-Acids,Wag
AL00063492.faa,Amino-Acids,RtREV
AL00063763.faa,Amino-Acids,Blosum
AL00064294.faa,Amino-Acids,Wag
AL00068994.faa,Amino-Acids,Blosum
AL00069117.faa,Amino-Acids,Blosum
AL00069381.faa,Amino-Acids,Vt
AL00069394.faa,Amino-Acids,Blosum
AL00069572.faa,Amino-Acids,Blosum
AL00074653.faa,Amino-Acids,Blosum
AL00082614.faa,Amino-Acids,Blosum
AL00088696.faa,Amino-Acids,Blosum
AL00088995.faa,Amino-Acids,Vt
AL00089048.faa,Amino-Acids,Blosum
AL00089447.faa,Amino-Acids,Blosum
AL00089623.faa,Amino-Acids,Blosum
AL00089800.faa,Amino-Acids,Blosum
AL00100877.faa,Amino-Acids,Blosum
AL00100897.faa,Amino-Acids,Dayhoff
AL00101215.faa,Amino-Acids,Vt
AL00102031.faa,Amino-Acids,Blosum
AL00103575.faa,Amino-Acids,Blosum
AL00109622.faa,Amino-Acids,Blosum
AL10047861.faa,Amino-Acids,Wag
AL10048599.faa,Amino-Acids,Blosum
AL10050021.faa,Amino-Acids,Blosum
AL10050155.faa,Amino-Acids,Wag
AL10050335.faa,Amino-Acids,Vt
AL10050412.faa,Amino-Acids,Blosum
AL10050464.faa,Amino-Acids,Blosum
AL10050712.faa,Amino-Acids,Blosum
AL10050815.faa,Amino-Acids,Wag
AL10050875.faa,Amino-Acids,Wag
AL10051306.faa,Amino-Acids,Wag
AL10051350.faa,Amino-Acids,Blosum
AL10051367.faa,Amino-Acids,Blosum
AL10051735.faa,Amino-Acids,Blosum
AL10052799.faa,Amino-Acids,Blosum
AL10053335.faa,Amino-Acids,Blosum
AL10053473.faa,Amino-Acids,Blosum
AL10054446.faa,Amino-Acids,Blosum
AL10054592.faa,Amino-Acids,Blosum
AL10054593.faa,Amino-Acids,Wag
AL10054814.faa,Amino-Acids,RtREV
AL10056276.faa,Amino-Acids,Wag
AL10057468.faa,Amino-Acids,Blosum
AL10057491.faa,Amino-Acids,Dayhoff
AL10063410.faa,Amino-Acids,Blosum
AL10063562.faa,Amino-Acids,Vt
AL10063763.faa,Amino-Acids,Wag
AL10069117.faa,Amino-Acids,Blosum
AL10074933.faa,Amino-Acids,Wag
AL10089447.faa,Amino-Acids,Blosum
AL10101215.faa,Amino-Acids,Blosum
AL10109622.faa,Amino-Acids,Vt
AL20089447.faa,Amino-Acids,Blosum
